,counts,date,status,site
197,506.0,2014-07-04T00:00:00+0000,0.0,100010022
198,2881.0,2014-07-05T00:00:00+0000,0.0,100010022
199,3010.0,2014-07-06T00:00:00+0000,0.0,100010022
200,3375.0,2014-07-07T00:00:00+0000,0.0,100010022
201,3311.0,2014-07-08T00:00:00+0000,0.0,100010022
202,3261.0,2014-07-09T00:00:00+0000,0.0,100010022
203,3630.0,2014-07-10T00:00:00+0000,0.0,100010022
204,3578.0,2014-07-11T00:00:00+0000,0.0,100010022
205,3307.0,2014-07-12T00:00:00+0000,0.0,100010022
206,2597.0,2014-07-13T00:00:00+0000,0.0,100010022
207,2222.0,2014-07-14T00:00:00+0000,0.0,100010022
208,1329.0,2014-07-15T00:00:00+0000,0.0,100010022
209,2313.0,2014-07-16T00:00:00+0000,0.0,100010022
210,3565.0,2014-07-17T00:00:00+0000,0.0,100010022
211,3214.0,2014-07-18T00:00:00+0000,0.0,100010022
212,2719.0,2014-07-19T00:00:00+0000,0.0,100010022
213,3227.0,2014-07-20T00:00:00+0000,0.0,100010022
214,3345.0,2014-07-21T00:00:00+0000,0.0,100010022
215,3276.0,2014-07-22T00:00:00+0000,0.0,100010022
216,3278.0,2014-07-23T00:00:00+0000,0.0,100010022
217,3492.0,2014-07-24T00:00:00+0000,0.0,100010022
218,3858.0,2014-07-25T00:00:00+0000,0.0,100010022
219,3037.0,2014-07-26T00:00:00+0000,0.0,100010022
220,2519.0,2014-07-27T00:00:00+0000,0.0,100010022
221,3334.0,2014-07-28T00:00:00+0000,0.0,100010022
222,4116.0,2014-07-29T00:00:00+0000,0.0,100010022
223,4054.0,2014-07-30T00:00:00+0000,0.0,100010022
224,3591.0,2014-07-31T00:00:00+0000,0.0,100010022
225,3183.0,2014-08-01T00:00:00+0000,0.0,100010022
226,2778.0,2014-08-02T00:00:00+0000,0.0,100010022
227,2855.0,2014-08-03T00:00:00+0000,0.0,100010022
228,3774.0,2014-08-04T00:00:00+0000,0.0,100010022
229,3627.0,2014-08-05T00:00:00+0000,0.0,100010022
230,3122.0,2014-08-06T00:00:00+0000,0.0,100010022
231,4014.0,2014-08-07T00:00:00+0000,0.0,100010022
232,3185.0,2014-08-08T00:00:00+0000,0.0,100010022
233,4976.0,2014-08-09T00:00:00+0000,0.0,100010022
234,2892.0,2014-08-10T00:00:00+0000,0.0,100010022
235,3104.0,2014-08-11T00:00:00+0000,0.0,100010022
236,1706.0,2014-08-12T00:00:00+0000,0.0,100010022
237,1838.0,2014-08-13T00:00:00+0000,0.0,100010022
238,3586.0,2014-08-14T00:00:00+0000,0.0,100010022
239,3415.0,2014-08-15T00:00:00+0000,0.0,100010022
240,5143.0,2014-08-16T00:00:00+0000,0.0,100010022
241,2766.0,2014-08-17T00:00:00+0000,0.0,100010022
242,3552.0,2014-08-18T00:00:00+0000,0.0,100010022
243,3563.0,2014-08-19T00:00:00+0000,0.0,100010022
244,3605.0,2014-08-20T00:00:00+0000,0.0,100010022
245,3193.0,2014-08-21T00:00:00+0000,0.0,100010022
246,2342.0,2014-08-22T00:00:00+0000,0.0,100010022
247,2609.0,2014-08-23T00:00:00+0000,0.0,100010022
248,3281.0,2014-08-24T00:00:00+0000,0.0,100010022
249,3231.0,2014-08-25T00:00:00+0000,0.0,100010022
250,3684.0,2014-08-26T00:00:00+0000,0.0,100010022
251,3083.0,2014-08-27T00:00:00+0000,0.0,100010022
252,3352.0,2014-08-28T00:00:00+0000,0.0,100010022
253,2542.0,2014-08-29T00:00:00+0000,0.0,100010022
254,2499.0,2014-08-30T00:00:00+0000,0.0,100010022
255,1885.0,2014-08-31T00:00:00+0000,0.0,100010022
256,1972.0,2014-09-01T00:00:00+0000,0.0,100010022
257,2537.0,2014-09-02T00:00:00+0000,0.0,100010022
258,3043.0,2014-09-03T00:00:00+0000,0.0,100010022
259,3238.0,2014-09-04T00:00:00+0000,0.0,100010022
260,2984.0,2014-09-05T00:00:00+0000,0.0,100010022
261,1877.0,2014-09-06T00:00:00+0000,0.0,100010022
262,6740.0,2014-09-07T00:00:00+0000,0.0,100010022
263,3764.0,2014-09-08T00:00:00+0000,0.0,100010022
264,3312.0,2014-09-09T00:00:00+0000,0.0,100010022
265,3541.0,2014-09-10T00:00:00+0000,0.0,100010022
266,3103.0,2014-09-11T00:00:00+0000,0.0,100010022
267,3467.0,2014-09-12T00:00:00+0000,0.0,100010022
268,1235.0,2014-09-13T00:00:00+0000,0.0,100010022
269,0.0,2014-09-14T00:00:00+0000,0.0,100010022
270,0.0,2014-09-15T00:00:00+0000,0.0,100010022
271,0.0,2014-09-16T00:00:00+0000,0.0,100010022
272,0.0,2014-09-17T00:00:00+0000,0.0,100010022
273,0.0,2014-09-18T00:00:00+0000,0.0,100010022
274,0.0,2014-09-19T00:00:00+0000,0.0,100010022
275,0.0,2014-09-20T00:00:00+0000,0.0,100010022
276,0.0,2014-09-21T00:00:00+0000,0.0,100010022
277,0.0,2014-09-22T00:00:00+0000,0.0,100010022
278,0.0,2014-09-23T00:00:00+0000,0.0,100010022
279,0.0,2014-09-24T00:00:00+0000,0.0,100010022
280,0.0,2014-09-25T00:00:00+0000,0.0,100010022
281,0.0,2014-09-26T00:00:00+0000,0.0,100010022
282,0.0,2014-09-27T00:00:00+0000,0.0,100010022
283,0.0,2014-09-28T00:00:00+0000,0.0,100010022
284,0.0,2014-09-29T00:00:00+0000,0.0,100010022
285,0.0,2014-09-30T00:00:00+0000,0.0,100010022
286,0.0,2014-10-01T00:00:00+0000,0.0,100010022
287,0.0,2014-10-02T00:00:00+0000,0.0,100010022
288,0.0,2014-10-03T00:00:00+0000,0.0,100010022
289,0.0,2014-10-04T00:00:00+0000,0.0,100010022
290,0.0,2014-10-05T00:00:00+0000,0.0,100010022
291,0.0,2014-10-06T00:00:00+0000,0.0,100010022
292,0.0,2014-10-07T00:00:00+0000,0.0,100010022
293,0.0,2014-10-08T00:00:00+0000,0.0,100010022
294,0.0,2014-10-09T00:00:00+0000,0.0,100010022
295,0.0,2014-10-10T00:00:00+0000,0.0,100010022
296,0.0,2014-10-11T00:00:00+0000,0.0,100010022
297,0.0,2014-10-12T00:00:00+0000,0.0,100010022
298,0.0,2014-10-13T00:00:00+0000,0.0,100010022
299,0.0,2014-10-14T00:00:00+0000,0.0,100010022
300,0.0,2014-10-15T00:00:00+0000,0.0,100010022
301,0.0,2014-10-16T00:00:00+0000,0.0,100010022
