,datetime,counts,weekend_counts,weekday_counts,name,sens,counter
100010017,2017-06-30,16029.0,3455.0,12574.0,Staten Island Ferry,0,Y2H13094300
100009425,2017-06-30,83469.0,24548.0,58921.0,Prospect Park West,0,Y2H13094304
100010019,2017-06-30,112377.0,32979.0,79398.0,Kent Avenue Bike Path,0,Y2H13094302
100009427,2017-06-30,198600.0,41058.0,157542.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2017-06-30,142096.0,28676.0,113420.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2017-06-30,82706.0,18455.0,64251.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2017-06-30,6716.0,1761.0,4955.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009426,2017-07-31,7474.0,2441.0,5033.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2017-07-31,188284.0,50214.0,138070.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2017-07-31,85435.0,25878.0,59557.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010019,2017-07-31,114918.0,41381.0,73537.0,Kent Avenue Bike Path,0,Y2H13094302
100009425,2017-07-31,85577.0,29704.0,55873.0,Prospect Park West,0,Y2H13094304
100010017,2017-07-31,17021.0,5015.0,12006.0,Staten Island Ferry,0,Y2H13094300
100009428,2017-07-31,141068.0,37771.0,103297.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009425,2017-08-31,81196.0,24396.0,56800.0,Prospect Park West,0,Y2H13094304
100009426,2017-08-31,7990.0,2473.0,5517.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2017-08-31,94875.0,26860.0,68015.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010017,2017-08-31,17973.0,4363.0,13610.0,Staten Island Ferry,0,Y2H13094300
100010019,2017-08-31,112528.0,33018.0,79510.0,Kent Avenue Bike Path,0,Y2H13094302
100009427,2017-08-31,198611.0,43141.0,155470.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2017-08-31,160251.0,35067.0,125184.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2017-09-30,86869.0,22941.0,63928.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009426,2017-09-30,7430.0,2185.0,5245.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2017-09-30,198430.0,44892.0,153538.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010019,2017-09-30,113109.0,36701.0,76408.0,Kent Avenue Bike Path,0,Y2H13094302
100010017,2017-09-30,15393.0,4037.0,11356.0,Staten Island Ferry,0,Y2H13094300
100009428,2017-09-30,151615.0,34793.0,116822.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009425,2017-09-30,82334.0,27153.0,55181.0,Prospect Park West,0,Y2H13094304
100010019,2017-10-31,96043.0,29513.0,66530.0,Kent Avenue Bike Path,0,Y2H13094302
100009427,2017-10-31,185847.0,41527.0,144320.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2017-10-31,147971.0,32970.0,115001.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2017-10-31,7517.0,2036.0,5481.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2017-10-31,80150.0,18182.0,61968.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010017,2017-10-31,13412.0,3554.0,9858.0,Staten Island Ferry,0,Y2H13094300
100009425,2017-10-31,77085.0,24520.0,52565.0,Prospect Park West,0,Y2H13094304
100009427,2017-11-30,121990.0,22302.0,99688.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009425,2017-11-30,55552.0,14405.0,41147.0,Prospect Park West,0,Y2H13094304
100009426,2017-11-30,4432.0,993.0,3439.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2017-11-30,100311.0,17513.0,82798.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010019,2017-11-30,59345.0,13619.0,45726.0,Kent Avenue Bike Path,0,Y2H13094302
100010017,2017-11-30,9798.0,2059.0,7739.0,Staten Island Ferry,0,Y2H13094300
100010022,2017-11-30,46521.0,7589.0,38932.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010017,2017-12-31,7409.0,1690.0,5719.0,Staten Island Ferry,0,Y2H13094300
100009425,2017-12-31,39127.0,10638.0,28489.0,Prospect Park West,0,Y2H13094304
100010019,2017-12-31,37481.0,9482.0,27999.0,Kent Avenue Bike Path,0,Y2H13094302
100009428,2017-12-31,71776.0,14131.0,57645.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2017-12-31,2904.0,719.0,2185.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2017-12-31,27544.0,4159.0,23385.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2017-12-31,73651.0,13884.0,59767.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009426,2018-01-31,2469.0,641.0,1828.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2018-01-31,20519.0,3455.0,17064.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010018,2018-01-31,21237.0,4993.0,16244.0,Pulaski Bridge,0,Y2H13094301
100010019,2018-01-31,29311.0,7790.0,21521.0,Kent Avenue Bike Path,0,Y2H13094302
100009425,2018-01-31,32867.0,9132.0,23735.0,Prospect Park West,0,Y2H13094304
100009427,2018-01-31,56569.0,11917.0,44652.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2018-01-31,49462.0,10465.0,38997.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010017,2018-01-31,6196.0,1362.0,4834.0,Staten Island Ferry,0,Y2H13094300
100009426,2018-02-28,3145.0,646.0,2499.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2018-02-28,58290.0,8388.0,49902.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2018-02-28,28767.0,2957.0,25810.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010019,2018-02-28,36361.0,6375.0,29986.0,Kent Avenue Bike Path,0,Y2H13094302
100009425,2018-02-28,36546.0,8299.0,28247.0,Prospect Park West,0,Y2H13094304
100010018,2018-02-28,26789.0,4447.0,22342.0,Pulaski Bridge,0,Y2H13094301
100009427,2018-02-28,72032.0,9995.0,62037.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010017,2018-02-28,6637.0,1214.0,5423.0,Staten Island Ferry,0,Y2H13094300
100009425,2018-03-31,42945.0,14809.0,28136.0,Prospect Park West,0,Y2H13094304
100010022,2018-03-31,31312.0,7280.0,24032.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2018-03-31,80252.0,20868.0,59384.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009428,2018-03-31,64347.0,16523.0,47824.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
