date,name,total,fillColor,wday
2017-05-31T00:00:00Z,1st Avenue - 26th St N,5064,Weekday,4
2017-06-01T00:00:00Z,1st Avenue - 26th St N,5498,Weekday,5
2017-06-02T00:00:00Z,1st Avenue - 26th St N,4393,Weekday,6
2017-06-03T00:00:00Z,1st Avenue - 26th St N,2129,Weekend,7
2017-06-04T00:00:00Z,1st Avenue - 26th St N,1661,Weekend,1
2017-06-05T00:00:00Z,1st Avenue - 26th St N,5851,Weekday,2
2017-06-06T00:00:00Z,1st Avenue - 26th St N,1926,Weekday,3
2017-06-07T00:00:00Z,1st Avenue - 26th St N,3555,Weekday,4
2017-06-08T00:00:00Z,1st Avenue - 26th St N,3684,Weekday,5
2017-06-09T00:00:00Z,1st Avenue - 26th St N,4217,Weekday,6
2017-06-10T00:00:00Z,1st Avenue - 26th St N,2339,Weekend,7
2017-06-11T00:00:00Z,1st Avenue - 26th St N,2713,Weekend,1
2017-06-12T00:00:00Z,1st Avenue - 26th St N,3432,Weekday,2
2017-06-13T00:00:00Z,1st Avenue - 26th St N,2874,Weekday,3
2017-06-14T00:00:00Z,1st Avenue - 26th St N,3130,Weekday,4
2017-06-15T00:00:00Z,1st Avenue - 26th St N,5787,Weekday,5
2017-06-16T00:00:00Z,1st Avenue - 26th St N,4374,Weekday,6
2017-06-17T00:00:00Z,1st Avenue - 26th St N,1918,Weekend,7
2017-06-18T00:00:00Z,1st Avenue - 26th St N,2884,Weekend,1
2017-06-19T00:00:00Z,1st Avenue - 26th St N,3644,Weekday,2
2017-06-20T00:00:00Z,1st Avenue - 26th St N,4316,Weekday,3
2017-06-21T00:00:00Z,1st Avenue - 26th St N,3641,Weekday,4
2017-06-22T00:00:00Z,1st Avenue - 26th St N,3723,Weekday,5
2017-06-23T00:00:00Z,1st Avenue - 26th St N,2552,Weekday,6
2017-06-24T00:00:00Z,1st Avenue - 26th St N,2234,Weekend,7
2017-06-25T00:00:00Z,1st Avenue - 26th St N,2668,Weekend,1
2017-06-26T00:00:00Z,1st Avenue - 26th St N,3484,Weekday,2
2017-06-27T00:00:00Z,1st Avenue - 26th St N,6705,Weekday,3
2017-06-28T00:00:00Z,1st Avenue - 26th St N,6981,Weekday,4
2017-06-29T00:00:00Z,1st Avenue - 26th St N,5214,Weekday,5
2017-06-30T00:00:00Z,1st Avenue - 26th St N,3783,Weekday,6
2017-07-01T00:00:00Z,1st Avenue - 26th St N,1747,Weekend,7
2017-07-02T00:00:00Z,1st Avenue - 26th St N,1870,Weekend,1
2017-07-03T00:00:00Z,1st Avenue - 26th St N,2243,Weekday,2
2017-07-04T00:00:00Z,1st Avenue - 26th St N,1991,Weekday,3
2017-07-05T00:00:00Z,1st Avenue - 26th St N,3220,Weekday,4
2017-07-06T00:00:00Z,1st Avenue - 26th St N,4268,Weekday,5
2017-07-07T00:00:00Z,1st Avenue - 26th St N,3526,Weekday,6
2017-07-08T00:00:00Z,1st Avenue - 26th St N,2629,Weekend,7
2017-07-09T00:00:00Z,1st Avenue - 26th St N,2406,Weekend,1
2017-07-10T00:00:00Z,1st Avenue - 26th St N,4605,Weekday,2
2017-07-11T00:00:00Z,1st Avenue - 26th St N,3476,Weekday,3
2017-07-12T00:00:00Z,1st Avenue - 26th St N,3044,Weekday,4
2017-07-13T00:00:00Z,1st Avenue - 26th St N,2631,Weekday,5
2017-07-14T00:00:00Z,1st Avenue - 26th St N,2167,Weekday,6
2017-07-15T00:00:00Z,1st Avenue - 26th St N,3125,Weekend,7
2017-07-16T00:00:00Z,1st Avenue - 26th St N,2343,Weekend,1
2017-07-17T00:00:00Z,1st Avenue - 26th St N,4072,Weekday,2
2017-07-18T00:00:00Z,1st Avenue - 26th St N,3476,Weekday,3
2017-07-19T00:00:00Z,1st Avenue - 26th St N,3111,Weekday,4
2017-07-20T00:00:00Z,1st Avenue - 26th St N,2905,Weekday,5
2017-07-21T00:00:00Z,1st Avenue - 26th St N,2772,Weekday,6
2017-07-22T00:00:00Z,1st Avenue - 26th St N,1843,Weekend,7
2017-07-23T00:00:00Z,1st Avenue - 26th St N,1960,Weekend,1
2017-07-24T00:00:00Z,1st Avenue - 26th St N,3939,Weekday,2
2017-07-25T00:00:00Z,1st Avenue - 26th St N,6476,Weekday,3
2017-07-26T00:00:00Z,1st Avenue - 26th St N,5716,Weekday,4
2017-07-27T00:00:00Z,1st Avenue - 26th St N,6231,Weekday,5
2017-07-28T00:00:00Z,1st Avenue - 26th St N,3898,Weekday,6
2017-07-29T00:00:00Z,1st Avenue - 26th St N,2322,Weekend,7
2017-07-30T00:00:00Z,1st Avenue - 26th St N,2413,Weekend,1
2017-07-31T00:00:00Z,1st Avenue - 26th St N,4778,Weekday,2
2017-08-01T00:00:00Z,1st Avenue - 26th St N,3643,Weekday,3
2017-08-02T00:00:00Z,1st Avenue - 26th St N,2948,Weekday,4
2017-08-03T00:00:00Z,1st Avenue - 26th St N,4090,Weekday,5
2017-08-04T00:00:00Z,1st Avenue - 26th St N,2855,Weekday,6
2017-08-05T00:00:00Z,1st Avenue - 26th St N,2268,Weekend,7
2017-08-06T00:00:00Z,1st Avenue - 26th St N,2360,Weekend,1
2017-08-07T00:00:00Z,1st Avenue - 26th St N,4547,Weekday,2
2017-08-08T00:00:00Z,1st Avenue - 26th St N,7510,Weekday,3
2017-08-09T00:00:00Z,1st Avenue - 26th St N,6878,Weekday,4
2017-08-10T00:00:00Z,1st Avenue - 26th St N,4550,Weekday,5
2017-08-11T00:00:00Z,1st Avenue - 26th St N,3775,Weekday,6
2017-08-12T00:00:00Z,1st Avenue - 26th St N,2524,Weekend,7
2017-08-13T00:00:00Z,1st Avenue - 26th St N,2273,Weekend,1
2017-08-14T00:00:00Z,1st Avenue - 26th St N,3420,Weekday,2
2017-08-15T00:00:00Z,1st Avenue - 26th St N,2810,Weekday,3
2017-08-16T00:00:00Z,1st Avenue - 26th St N,4206,Weekday,4
2017-08-17T00:00:00Z,1st Avenue - 26th St N,4027,Weekday,5
2017-08-18T00:00:00Z,1st Avenue - 26th St N,2078,Weekday,6
2017-08-19T00:00:00Z,1st Avenue - 26th St N,2258,Weekend,7
2017-08-20T00:00:00Z,1st Avenue - 26th St N,2076,Weekend,1
2017-08-21T00:00:00Z,1st Avenue - 26th St N,3245,Weekday,2
2017-08-22T00:00:00Z,1st Avenue - 26th St N,3093,Weekday,3
2017-08-23T00:00:00Z,1st Avenue - 26th St N,3072,Weekday,4
2017-08-24T00:00:00Z,1st Avenue - 26th St N,3505,Weekday,5
2017-08-25T00:00:00Z,1st Avenue - 26th St N,3527,Weekday,6
2017-08-26T00:00:00Z,1st Avenue - 26th St N,2322,Weekend,7
2017-08-27T00:00:00Z,1st Avenue - 26th St N,2339,Weekend,1
2017-08-28T00:00:00Z,1st Avenue - 26th St N,3401,Weekday,2
2017-08-29T00:00:00Z,1st Avenue - 26th St N,2556,Weekday,3
2017-08-30T00:00:00Z,1st Avenue - 26th St N,3849,Weekday,4
2017-08-31T00:00:00Z,1st Avenue - 26th St N,4496,Weekday,5
2017-09-01T00:00:00Z,1st Avenue - 26th St N,2788,Weekday,6
2017-09-02T00:00:00Z,1st Avenue - 26th St N,1558,Weekend,7
2017-09-03T00:00:00Z,1st Avenue - 26th St N,1387,Weekend,1
2017-09-04T00:00:00Z,1st Avenue - 26th St N,2259,Weekday,2
2017-09-05T00:00:00Z,1st Avenue - 26th St N,4018,Weekday,3
2017-09-06T00:00:00Z,1st Avenue - 26th St N,3680,Weekday,4
2017-09-07T00:00:00Z,1st Avenue - 26th St N,5619,Weekday,5
2017-09-08T00:00:00Z,1st Avenue - 26th St N,3749,Weekday,6
2017-09-09T00:00:00Z,1st Avenue - 26th St N,2619,Weekend,7
2017-09-10T00:00:00Z,1st Avenue - 26th St N,2618,Weekend,1
2017-09-11T00:00:00Z,1st Avenue - 26th St N,4981,Weekday,2
2017-09-12T00:00:00Z,1st Avenue - 26th St N,4296,Weekday,3
2017-09-13T00:00:00Z,1st Avenue - 26th St N,4651,Weekday,4
2017-09-14T00:00:00Z,1st Avenue - 26th St N,3728,Weekday,5
2017-09-15T00:00:00Z,1st Avenue - 26th St N,3685,Weekday,6
2017-09-16T00:00:00Z,1st Avenue - 26th St N,2403,Weekend,7
2017-09-17T00:00:00Z,1st Avenue - 26th St N,2282,Weekend,1
2017-09-18T00:00:00Z,1st Avenue - 26th St N,5710,Weekday,2
2017-09-19T00:00:00Z,1st Avenue - 26th St N,3209,Weekday,3
2017-09-20T00:00:00Z,1st Avenue - 26th St N,4000,Weekday,4
2017-09-21T00:00:00Z,1st Avenue - 26th St N,3757,Weekday,5
2017-09-22T00:00:00Z,1st Avenue - 26th St N,3430,Weekday,6
2017-09-23T00:00:00Z,1st Avenue - 26th St N,2353,Weekend,7
2017-09-24T00:00:00Z,1st Avenue - 26th St N,2028,Weekend,1
2017-09-25T00:00:00Z,1st Avenue - 26th St N,3516,Weekday,2
2017-09-26T00:00:00Z,1st Avenue - 26th St N,3571,Weekday,3
2017-09-27T00:00:00Z,1st Avenue - 26th St N,3558,Weekday,4
2017-09-28T00:00:00Z,1st Avenue - 26th St N,3523,Weekday,5
2017-09-29T00:00:00Z,1st Avenue - 26th St N,3848,Weekday,6
2017-09-30T00:00:00Z,1st Avenue - 26th St N,2052,Weekend,7
2017-10-01T00:00:00Z,1st Avenue - 26th St N,2252,Weekend,1
