date,name,total,fillColor,wday
2020-01-24T00:00:00Z,Prospect Park West,1922,Weekday,6
2020-01-24T00:00:00Z,Pulaski Bridge,1365,Weekday,6
2020-01-24T00:00:00Z,Staten Island Ferry,359,Weekday,6
2020-01-24T00:00:00Z,Williamsburg Bridge Bike Path,3956,Weekday,6
2020-01-25T00:00:00Z,8th Ave at 50th St.,2094,Weekend,7
2020-01-25T00:00:00Z,Amsterdam Ave at 86th St.,1170,Weekend,7
2020-01-25T00:00:00Z,Brooklyn Bridge Bike Path,124,Weekend,7
2020-01-25T00:00:00Z,Columbus Ave at 86th St.,893,Weekend,7
2020-01-25T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1192,Weekend,7
2020-01-25T00:00:00Z,Kent Avenue Bike Path,810,Weekend,7
2020-01-25T00:00:00Z,Manhattan Bridge Display Bike Counter,759,Weekend,7
2020-01-25T00:00:00Z,Manhattan Bridge Ped Path,36,Weekend,7
2020-01-25T00:00:00Z,Prospect Park West,1140,Weekend,7
2020-01-25T00:00:00Z,Pulaski Bridge,449,Weekend,7
2020-01-25T00:00:00Z,Staten Island Ferry,164,Weekend,7
2020-01-25T00:00:00Z,Williamsburg Bridge Bike Path,1319,Weekend,7
2020-01-26T00:00:00Z,8th Ave at 50th St.,2525,Weekend,1
2020-01-26T00:00:00Z,Amsterdam Ave at 86th St.,1465,Weekend,1
2020-01-26T00:00:00Z,Brooklyn Bridge Bike Path,494,Weekend,1
2020-01-26T00:00:00Z,Columbus Ave at 86th St.,1106,Weekend,1
2020-01-26T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1999,Weekend,1
2020-01-26T00:00:00Z,Kent Avenue Bike Path,1620,Weekend,1
2020-01-26T00:00:00Z,Manhattan Bridge Display Bike Counter,1870,Weekend,1
2020-01-26T00:00:00Z,Manhattan Bridge Ped Path,104,Weekend,1
2020-01-26T00:00:00Z,Prospect Park West,1838,Weekend,1
2020-01-26T00:00:00Z,Pulaski Bridge,1040,Weekend,1
2020-01-26T00:00:00Z,Staten Island Ferry,240,Weekend,1
2020-01-26T00:00:00Z,Williamsburg Bridge Bike Path,2727,Weekend,1
2020-01-27T00:00:00Z,8th Ave at 50th St.,2882,Weekday,2
2020-01-27T00:00:00Z,Amsterdam Ave at 86th St.,1287,Weekday,2
2020-01-27T00:00:00Z,Brooklyn Bridge Bike Path,1117,Weekday,2
2020-01-27T00:00:00Z,Columbus Ave at 86th St.,1056,Weekday,2
2020-01-27T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,3043,Weekday,2
2020-01-27T00:00:00Z,Kent Avenue Bike Path,1452,Weekday,2
2020-01-27T00:00:00Z,Manhattan Bridge Display Bike Counter,3211,Weekday,2
2020-01-27T00:00:00Z,Manhattan Bridge Ped Path,96,Weekday,2
2020-01-27T00:00:00Z,Prospect Park West,1721,Weekday,2
2020-01-27T00:00:00Z,Pulaski Bridge,1264,Weekday,2
2020-01-27T00:00:00Z,Staten Island Ferry,303,Weekday,2
2020-01-27T00:00:00Z,Williamsburg Bridge Bike Path,3733,Weekday,2
2020-01-28T00:00:00Z,8th Ave at 50th St.,3031,Weekday,3
2020-01-28T00:00:00Z,Amsterdam Ave at 86th St.,1269,Weekday,3
2020-01-28T00:00:00Z,Brooklyn Bridge Bike Path,1212,Weekday,3
2020-01-28T00:00:00Z,Columbus Ave at 86th St.,1102,Weekday,3
2020-01-28T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2943,Weekday,3
2020-01-28T00:00:00Z,Kent Avenue Bike Path,1504,Weekday,3
2020-01-28T00:00:00Z,Manhattan Bridge Display Bike Counter,3295,Weekday,3
2020-01-28T00:00:00Z,Manhattan Bridge Ped Path,131,Weekday,3
